小分类,题目,答案
ferito ustionato,"Se un ferito della strada si è ustionato, è consigliabile non togliere i vestiti rimasti attaccati alla pelle bruciata",V
ferito ustionato,"Per diminuire il dolore delle ustioni si deve, se possibile, fare uso di acqua fredda",V
ferito ustionato,"Se un ferito della strada ha riportato delle ustioni al busto, conviene coprirle con materiale pulito, possibilmente sterile",V
ferito ustionato,"Se un ferito della strada si è ustionato e sono ancora presenti delle residue fiamme, bisogna aspettare che si spengano da sole, prima di intervenire",F
ferito ustionato,"Se un ferito della strada si è ustionato, bisogna sempre togliere le parti dei vestiti che sono rimaste attaccate alla pelle",F
ferito ustionato,"Se un ferito della strada si è ustionato, bisogna disinfettare le bruciature con l'alcool",F
attività del soccorritore,"Dopo un incidente stradale, il soccorritore che interviene deve valutare bene la situazione, per proteggere gli infortunati da altri pericoli",V
attività del soccorritore,"Dopo un incidente stradale, il soccorritore che interviene deve assistere gli infortunati al meglio delle sue possibilità, senza però prendere iniziative di specifica competenza medica",V
attività del soccorritore,"Dopo un incidente stradale, il soccorritore che interviene deve prestare assistenza agli infortunati, secondo le proprie possibilità e conoscenze",V
attività del soccorritore,Chi è coinvolto in un incidente stradale deve allontanarsi sempre e subito dal luogo in cui si è verificato,F
attività del soccorritore,"In caso di incidente stradale, bisogna aspettare solo l'arrivo dei soccorsi, senza fare nulla",F
attività del soccorritore,"In caso di incidente stradale, la prima cosa che deve fare il soccorritore è identificare l'infortunato, chiedendogli nome e cognome",F
attività del soccorritore,"In caso di incidente stradale, il soccorritore deve somministrare farmaci alla vittima, se la stessa non ha specifica competenza medica",F
cause di shock,Lo stato di shock può essere causato da un forte dolore,V
cause di shock,"Lo stato di shock può essere causato da una forte emozione (gioia, rabbia)",V
cause di shock,Lo stato di shock può essere causato da una forte perdita di sangue,V
cause di shock,Lo stato di shock può essere causato da un forte trauma,V
cause di shock,Lo stato di shock non può dipendere da forti emozioni,F
cause di shock,Lo stato di shock non si verifica mai nelle persone che hanno avuto un trauma,F
cause di shock,Lo stato di shock non si verifica mai nelle persone che hanno perso molto sangue,F
cause di shock,Lo stato di shock non rappresenta un pericolo per la salute,F
assunzione di alcool,"L'assunzione di alcool rende meno sicura la guida, poiché può provocare eccitazione e imprudenza",V
assunzione di alcool,"L'assunzione di alcool rende meno sicura la guida, perché può rallentare i riflessi",V
assunzione di alcool,"L'assunzione di alcool rende meno sicura la guida, perché può provocare sonnolenza",V
assunzione di alcool,"L'assunzione di alcool rende meno sicura la guida, perché può modificare pericolosamente la capacità di concentrazione e attenzione",V
assunzione di alcool,L'assunzione di alcool può far diminuire il livello di attenzione,V
assunzione di alcool,"L'assunzione di alcool rende più sicura la guida, perché annulla la stanchezza",F
assunzione di alcool,"L'assunzione di alcool facilita la guida, perché fa aumentare la capacità di concentrazione",F
assunzione di alcool,"L'assunzione di alcool facilita la guida, perché rende più vigili e attenti",F
assunzione di alcool,"L'assunzione di alcool rende la guida più sicura, più allegra e meno noiosa",F
assunzione di alcool,L'assunzione di alcool migliora la vista,F
occhiali e lenti a contatto,"Durante la guida, si devono usare gli occhiali da vista o le lenti a contatto se nella patente si trova indicato tale obbligo",V
occhiali e lenti a contatto,"Durante la guida, si devono usare gli occhiali da vista o le lenti a contatto se nella patente è stato inserito il codice armonizzato ""01""",V
occhiali e lenti a contatto,"Durante la guida, si devono usare gli occhiali da vista o le lenti a contatto se nella patente figura, per esteso o sotto forma di codice, tale obbligo",V
occhiali e lenti a contatto,"Durante la guida, si devono usare gli occhiali da vista o le lenti a contatto quando è indicato sulla patente",V
occhiali e lenti a contatto,"Durante la guida, si deve fare uso di occhiali da vista o di lenti a contatto solo quando la miopia supera 6 diottrie",F
occhiali e lenti a contatto,"Durante la guida, si deve fare uso di occhiali da vista o di lenti a contatto da mezz'ora dopo il tramonto del sole a mezz'ora prima del suo sorgere",F
occhiali e lenti a contatto,"Durante la guida, si devono usare gli occhiali da vista o le lenti a contatto soltanto in caso di scarsa visibilità",F
occhiali e lenti a contatto,"Durante la guida, si deve fare uso di occhiali da vista o di lenti a contatto soltanto sulle autostrade e sulle strade extraurbane principali",F
risarcimento danni,Chi è civilmente obbligato a risarcire i danni provocati da un sinistro stradale si libera dall'obbligo se risarcisce il danneggiato,V
risarcimento danni,Chi è civilmente obbligato a risarcire i danni provocati da un sinistro stradale può accordarsi con il danneggiato circa il valore del risarcimento,V
risarcimento danni,Chi è civilmente obbligato a risarcire i danni provocati da un sinistro stradale può far riparare il proprio autoveicolo,V
risarcimento danni,Chi è civilmente obbligato a risarcire i danni provocati da un sinistro stradale può farsi assistere da un consulente d'infortunistica stradale,V
risarcimento danni,"Chi è civilmente obbligato a risarcire i danni provocati da un sinistro stradale può, in alternativa, chiedere che la propria patente di guida sia revocata",F
risarcimento danni,Chi è civilmente obbligato a risarcire i danni provocati da un sinistro stradale si libera da ogni forma di responsabilità penale pagandone l'ammontare del danno,F
responsabile di un sinistro stradale,Chi è penalmente e civilmente responsabile di un sinistro stradale è soggetto alle pene previste dal Codice Penale,V
responsabile di un sinistro stradale,Chi è penalmente e civilmente responsabile di un sinistro stradale è tenuto al risarcimento dei danni,V
responsabile di un sinistro stradale,Chi è penalmente e civilmente responsabile di un sinistro stradale qualora abbia violato norme del Codice della strada è anche soggetto alle relative sanzioni,V
responsabile di un sinistro stradale,Chi è penalmente e civilmente responsabile di un sinistro stradale può incorrere nella sospensione della patente di guida,V
responsabile di un sinistro stradale,Chi è penalmente e civilmente responsabile di un sinistro stradale può incorrere nella revoca della patente di guida,V
responsabile di un sinistro stradale,Chi è penalmente e civilmente responsabile di un sinistro stradale può incorrere nella revisione della patente di guida,V
responsabile di un sinistro stradale,Chi è penalmente e civilmente responsabile di un sinistro stradale è sempre soggetto all'arresto preventivo,F
responsabile di un sinistro stradale,"Chi è penalmente e civilmente responsabile di un sinistro stradale non può continuare a guidare veicoli della stessa categoria, ma solo di categoria inferiore",F
responsabile di un sinistro stradale,Chi è penalmente e civilmente responsabile di un sinistro stradale è in ogni caso assoggettato alla revoca della patente,F
responsabile di un sinistro stradale,Chi è penalmente e civilmente responsabile di un sinistro stradale non è assoggettato alle sanzioni del codice della strada,F
responsabilità penale,La responsabilità penale connessa al sinistro stradale è esclusa quando vi siano danni involontari alle sole cose,V
responsabilità penale,La responsabilità penale connessa al sinistro stradale è esclusa quando il fatto non sia considerato un reato,V
responsabilità penale,La responsabilità penale connessa al sinistro stradale è esclusa quando il fatto dipende da causa di forza maggiore,V
responsabilità penale,La responsabilità penale connessa al sinistro stradale è esclusa quando si sia prestato soccorso alla vittima,F
responsabilità penale,La responsabilità penale connessa al sinistro stradale è esclusa ogni qualvolta ci sia stato il risarcimento del danno,F
responsabilità penale,La responsabilità penale connessa al sinistro stradale è esclusa qualora intervenga l'impresa di assicurazione che risarcisca adeguatamente il danneggiato,F
casi di responsabilità penale,La responsabilità penale connessa al sinistro stradale sorge qualora esso provochi lesioni gravi a persone,V
casi di responsabilità penale,La responsabilità penale connessa al sinistro stradale sorge anche in caso di omicidio colposo,V
casi di responsabilità penale,La responsabilità penale connessa al sinistro stradale sorge allorché vengano violate norme contemplate dal Codice Penale,V
casi di responsabilità penale,La responsabilità penale connessa al sinistro stradale sorge in ogni caso in cui sia violato il Codice della strada,F
casi di responsabilità penale,La responsabilità penale connessa al sinistro stradale sorge quando il veicolo vada completamente distrutto,F
casi di responsabilità penale,La responsabilità penale connessa al sinistro stradale sorge in tutti i casi di danni alle persone o alle cose,F
casi di responsabilità penale,La responsabilità penale connessa al sinistro stradale sorge nei confronti del proprietario del veicolo se il conducente non è stato identificato,F
responsabilità civile,La responsabilità civile connessa al sinistro stradale consiste nell'obbligo di risarcire i danni causati sia alle persone che alle cose,V
responsabilità civile,La responsabilità civile connessa al sinistro stradale grava sul proprietario e sul conducente del veicolo,V
responsabilità civile,La responsabilità civile connessa al sinistro stradale obbliga il responsabile al risarcimento del danno,V
responsabilità civile,La responsabilità civile connessa al sinistro stradale è indipendente dalla responsabilità penale e dalla responsabilità amministrativa,V
responsabilità civile,La responsabilità civile connessa al sinistro stradale è basata sul principio che ogni danno causato deve essere risarcito,V
responsabilità civile,La responsabilità civile connessa al sinistro stradale è esclusa in caso di morte del danneggiato,F
responsabilità civile,La responsabilità civile connessa al sinistro stradale si limita al risarcimento dei danni alle sole cose,F
responsabilità civile,La responsabilità civile connessa al sinistro stradale è esclusa per danni di lieve entità,F
responsabilità civile,La responsabilità civile connessa al sinistro stradale è aggravata dalla mancata copertura assicurativa,F
responsabilità civile,La responsabilità civile connessa al sinistro stradale grava sull'impresa assicuratrice anche per danni superiori ai massimali,F
assicurazione RCA,L'assicurazione obbligatoria RCA copre i danni subiti dai terzi trasportati se il veicolo è autorizzato al trasporto di persone,V
assicurazione RCA,L'assicurazione obbligatoria RCA copre i danni subiti da persone e/o cose che si trovano in aree pubbliche o aperte al pubblico,V
assicurazione RCA,Il risarcimento diretto nei sinistri stradali si applica se vi sono danni al veicolo e lesioni di lieve entità al conducente,V
assicurazione RCA,La procedura di risarcimento diretto non è applicabile se vi sono più di due veicoli coinvolti,V
assicurazione RCA,Il risarcimento diretto è escluso se nel sinistro è coinvolto un motociclo,F
assicurazione RCA,"In caso di sinistro con danni al veicolo, la richiesta di risarcimento diretto deve essere obbligatoriamente corredata di fotografie",F
assicurazione RCA,L'assicurazione obbligatoria copre i danni subiti solo da terzi trasportati sui taxi,F
responsabilità per danni,"La responsabilità per danni connessi alla circolazione dei veicoli è a carico del conducente e del proprietario del veicolo, se si tratta di responsabilità civile",V
responsabilità per danni,"La responsabilità per danni connessi alla circolazione dei veicoli è a carico del conducente del veicolo, se si tratta di responsabilità penale",V
responsabilità per danni,La responsabilità per danni connessi alla circolazione dei veicoli non è a carico del proprietario del veicolo se prova che la circolazione è avvenuta contro la sua volontà,V
responsabilità per danni,"La responsabilità per danni connessi alla circolazione dei veicoli è a carico del proprietario del veicolo, se si tratta di responsabilità penale",F
responsabilità per danni,La responsabilità per danni connessi alla circolazione dei veicoli è a carico solo del conducente del veicolo se ci sono stati danni alle cose,F
assicurazione scaduta,È vietato utilizzare il veicolo privo di copertura assicurativa sulle strade pubbliche,V
assicurazione scaduta,Quando l'assicurazione per la responsabilità civile auto è scaduta di validità si incorre in una sanzione se si circola o si lascia in sosta il veicolo sulle strade pubbliche,V
assicurazione scaduta,Quando l'assicurazione per la responsabilità civile auto è scaduta di validità si può incorrere nella confisca del veicolo,V
assicurazione scaduta,Quando l'assicurazione per la responsabilità civile auto è scaduta di validità si può continuare a usare il veicolo solo per brevi tragitti,F
assicurazione scaduta,Quando l'assicurazione per la responsabilità civile auto è scaduta di validità si può utilizzare il veicolo solo sul territorio italiano,F
assicurazione scaduta,Quando l'assicurazione per la responsabilità civile auto è scaduta di validità è possibile lasciare il veicolo in sosta sulle strade pubbliche,F
assicurazione scaduta,"Quando l'assicurazione per la responsabilità civile auto è scaduta di validità, il veicolo deve essere sottoposto a collaudo tecnico prima di essere rimesso in circolazione",F
assicurazione scaduta,"Quando l'assicurazione per la responsabilità civile auto è scaduta di validità è possibile continuare ad usare il veicolo, solo se si è disposti a pagare personalmente gli eventuali danni arrecati",F
fondo garanzia vittime strada,"Il ""fondo di garanzia per le vittime della strada"" prevede il risarcimento dei danni arrecati alle persone da veicoli non coperti da assicurazione",V
fondo garanzia vittime strada,"Il ""fondo di garanzia per le vittime della strada"" prevede il risarcimento dei danni arrecati alle persone da veicoli non identificati",V
fondo garanzia vittime strada,"Il ""fondo di garanzia per le vittime della strada"" garantisce un vitalizio al conducente infortunato",F
fondo garanzia vittime strada,"Il ""fondo di garanzia per le vittime della strada"" è un premio per chi non ha provocato incidenti",F
fondo garanzia vittime strada,"Il ""fondo di garanzia per le vittime della strada"" è una convenzione facoltativa",F
fondo garanzia vittime strada,"Il ""fondo di garanzia per le vittime della strada"" risarcisce i danni arrecati dai conducenti minorenni",F
furto e incendio,"Le polizze assicurative stipulate di solito per coprire i danni da furto, incendio, atti vandalici, eventi naturali o danni al proprio veicolo (polizza kasko) non sono obbligatorie",V
furto e incendio,"Nella polizza assicurativa contro il rischio di furto o incendio, il risarcimento dovuto non può essere superiore al valore che il veicolo aveva al momento in cui è stato rubato o ha preso fuoco",V
furto e incendio,"Nel caso in cui il veicolo venga rubato in uno Stato estero, per poter attivare l'assicurazione bisogna ripetere la denuncia nello Stato italiano",V
furto e incendio,"La polizza assicurativa contro il rischio di furto o incendio garantisce una rendita vitalizia al proprietario del veicolo, nel caso in cui venga rubato o prenda fuoco",F
furto e incendio,Per poter stipulare una polizza assicurativa contro il rischio d'incendio occorre che il veicolo sia munito di apposito meccanismo staccabatteria automatico,F
furto e incendio,"Per poter stipulare una polizza assicurativa contro il rischio di furto, occorre che il veicolo sia dotato di antifurto",F
furto e incendio,"Le polizze assicurative contro il rischio d'incendio del veicolo coprono, normalmente, solo i danni causati da incendi dolosi (intenzionali) e non quelli provocati da incendi accidentali (casuali)",F
massimali della polizza RCA,"I massimali della polizza di assicurazione R.C.A. (responsabilità civile auto) sono gli importi massimi che l'impresa assicuratrice si impegna a pagare, in caso di incidente",V
massimali della polizza RCA,La cifra minima dei massimali della polizza di assicurazione R.C.A. (responsabilità civile auto) viene stabilita dalla legge,V
massimali della polizza RCA,"I massimali della polizza di assicurazione R.C.A. (responsabilità civile auto) possono essere aumentati, a scelta del cliente, pagando una maggiore somma di denaro (premio assicurativo)",V
massimali della polizza RCA,I massimali della polizza di assicurazione R.C.A. (responsabilità civile auto ) sono le somme di denaro che l'impresa assicuratrice riscuote ogni anno dal proprio cliente,F
massimali della polizza RCA,I massimali della polizza di assicurazione R.C.A. (responsabilità civile auto ) aumentano ogni anno,F
massimali della polizza RCA,"I massimali della polizza di assicurazione R.C.A. (responsabilità civile auto) vengono restituiti al cliente alla fine dell'anno, se non si causano incidenti",F
formula bonus malus,"Nell'assicurazione per la responsabilità civile auto (R.C.A.), il contratto con la formula ""bonus malus"" comporta una variazione annuale del premio di assicurazione, in base al numero di incidenti causati",V
formula bonus malus,La formula assicurativa “bonus malus” non si applica per i motocicli,F
formula bonus malus,"Nell'assicurazione per la responsabilità civile auto (R.C.A.), il contratto con la formula ""bonus malus"" viene automaticamente annullato se si provocano più di due incidenti",F
formula bonus malus,"Nell'assicurazione per la responsabilità civile auto (R.C.A.), il contratto con la formula ""bonus malus"" viene stabilito dal giudice",F
coperture dell'assicurazione,L'assicurazione per la responsabilità civile auto (R.C.A.) è valida anche per gli incidenti avvenuti nei Paesi dell'Unione Europea,V
coperture dell'assicurazione,L'assicurazione per la responsabilità civile auto (R.C.A.) copre anche la responsabilità penale in base al premio pagato,F
coperture dell'assicurazione,"L'assicurazione per la responsabilità civile auto (R.C.A.) copre anche le sanzioni amministrative pecuniarie, previste dal codice della strada",F
coperture dell'assicurazione,"L'assicurazione per la responsabilità civile auto (R.C.A.) copre ogni danno causato, anche se superiore al massimale stabilito",F
coperture dell'assicurazione,"L'assicurazione per la responsabilità civile auto (R.C.A.) copre solo la responsabilità del conducente, ma non quella del proprietario del veicolo",F
coperture dell'assicurazione,"L'assicurazione per la responsabilità civile auto (R.C.A.) copre solo i danni arrecati alle persone, perché per i danni alle cose occorre un altro tipo di contratto",F
assicurazioni e imprese assicuratrici,"Dopo la firma del contratto di assicurazione R.C.A. (responsabilità civile auto), l'impresa assicuratrice deve rilasciare al cliente il certificato di assicurazione",V
assicurazioni e imprese assicuratrici,L'assicurazione per la responsabilità civile auto (R.C.A.) è obbligatoria per legge,V
assicurazioni e imprese assicuratrici,Il certificato di assicurazione obbligatoria deve essere sempre tenuto a bordo del veicolo,V
assicurazioni e imprese assicuratrici,"Dopo la firma del contratto di assicurazione R.C.A. (responsabilità civile auto), l'impresa assicuratrice deve rilasciare al cliente un elenco delle autocarrozzerie convenzionate, da contattare in caso d'incidente",F
assicurazioni e imprese assicuratrici,"Dopo la firma del contratto di assicurazione R.C.A. (responsabilità civile auto), l'impresa assicuratrice deve rilasciare al cliente un libretto sulle nozioni di pronto soccorso",F
assicurazioni e imprese assicuratrici,"Dopo la firma del contratto di assicurazione R.C.A. (responsabilità civile auto), l'impresa assicuratrice deve rilasciare al cliente un manuale su come evitare incidenti",F
assicurazioni e imprese assicuratrici,"L'assicurazione per la responsabilità civile auto (R.C.A.), obbligatoria per legge, comprende il risarcimento dei danni provocati dal veicolo, purché guidato dal proprietario",F
psicologia del traffico,Il conducente non deve mai sopravvalutare la propria abilità di guida,V
psicologia del traffico,Le norme di circolazione sono stabilite per garantire una maggior sicurezza di guida per tutti gli utenti della strada,V
psicologia del traffico,Concentrare la propria attenzione sulle indicazioni del navigatore satellitare può rappresentare un elemento di distrazione alla guida,V
psicologia del traffico,"Durante la guida il conducente deve prestare attenzione, sia a gli utenti che si trovano davanti al proprio veicolo, sia a coloro che si trovano ai bordi della strada",V
psicologia del traffico,La presenza di passeggeri che schiamazzano a bordo del veicolo può influenzare la concentrazione del conducente,V
psicologia del traffico,"Se non si è certi di attraversare in tutta sicurezza un incrocio, è necessario arrestarsi ed aspettare che transitino tutti i veicoli con cui vi può essere un pericolo di collisione",V
psicologia del traffico,Parlare animosamente con altre persone a bordo del veicolo può influenzare negativamente il comportamento di guida,V
psicologia del traffico,"Si può ""allenare"" l'attenzione alla guida",V
psicologia del traffico,Un conducente deve considerare che non sempre è in grado di valutare correttamente le proprie capacità di guida,V
psicologia del traffico,"Quando si è alla guida, la capacità di attenzione può essere influenzata anche dall'ascolto di musica a volume molto alto",V
psicologia del traffico,L'ansia può ridurre la capacità di prestare attenzione ai pericoli,V
psicologia del traffico,Il rispetto delle norme permette di limitare l'intralcio alla circolazione,V
psicologia del traffico,Utilizzare il cellulare alla guida è pericoloso perché riduce l'attenzione alla strada,V
psicologia del traffico,Impostare il navigatore satellitare mentre si guida riduce l'attenzione alla strada,V
psicologia del traffico,La distrazione durante la guida è una delle principali cause di incidenti stradali,V
psicologia del traffico,L'attenzione alla guida diminuisce quando si è affaticati,V
psicologia del traffico,"Utilizzare il cellulare alla guida, anche se con impianto viva-voce, può ridurre l'attenzione alla strada",V
psicologia del traffico,"Per prevenire il rischio di incidenti, il conducente dovrà valutare attentamente il comportamento degli altri utenti della strada",V
psicologia del traffico,"Durante la guida, la percezione di un pericolo e la conseguente reazione del conducente sono influenzate dalle condizioni ambientali",V
psicologia del traffico,"E' pericoloso, durante la guida, distogliere lo sguardo dalla strada, anche per pochi millisecondi",V
psicologia del traffico,"Il rispetto delle norme di circolazione permette di limitare i rischi connessi alla guida di tutti i veicoli, sia di quelli a motore, sia di quelli che ne sono privi",V
psicologia del traffico,Distrarsi alla guida può causare incidenti stradali che possono comportare gravi conseguenze,V
psicologia del traffico,Quando si attraversa un incrocio è necessario mantenere la massima concentrazione alla guida,V
psicologia del traffico,I nostri sensi non riescono a cogliere tutti gli stimoli presenti nell'ambiente,V
psicologia del traffico,Le emozioni influenzano la nostra attenzione,V
psicologia del traffico,A volte ci si espone a situazioni più rischiose di quelle che si è in grado di gestire,V
psicologia del traffico,Il conducente può distogliere lo sguardo dalla strada quando ritiene che non ci sia pericolo imminente di incidente,F
psicologia del traffico,"In prossimità di un incrocio un conducente può arrestarsi e, mentre attende il passaggio di altri veicoli, può inviare un rapido messaggio con il cellulare",F
psicologia del traffico,Il conducente che intende passare per primo in un incrocio deve sopraggiungervi più velocemente,F
psicologia del traffico,"Durante la guida, qualora il conducente ritenga non vi sia pericolo imminente, può comporre un numero di telefono con il cellulare, senza fermarsi",F
psicologia del traffico,Il comportamento degli altri utenti della strada è ininfluente per una guida sicura,F
psicologia del traffico,"Il conducente può non tenere conto del comportamento degli altri utenti della strada, se questi ultimi non rispettano le regole del codice della strada",F
psicologia del traffico,"Durante la guida, la percezione di un pericolo e la conseguente reazione del conducente non sono influenzate dalle condizioni ambientali",F
psicologia del traffico,Un conducente deve sempre sottostimare le situazioni di pericolo per non farsi travolgere dall'ansia durante la guida,F
psicologia del traffico,Il conducente deve accogliere gli inviti dei passeggeri a guidare più velocemente,F
psicologia del traffico,Il conducente deve concentrarsi prevalentemente sul tratto di strada non superiore a tre metri antistante il suo veicolo,F
psicologia del traffico,"Mentre il veicolo è in marcia, il conducente può programmare il navigatore in qualsiasi momento",F
psicologia del traffico,Lo specchio retrovisore posto sul lato destro del veicolo deve essere utilizzato solo da conducenti esperti,F
psicologia del traffico,Gli specchi retrovisori devono essere regolati mentre il veicolo è in movimento,F
psicologia del traffico,Il rispetto delle norme di circolazione è importante solo se la loro violazione comporta una sanzione economica elevata,F
psicologia del traffico,"Il rispetto delle norme di circolazione è importante per gli utenti deboli, ma non per i conducenti degli autoveicoli",F
psicologia del traffico,"Il rispetto delle norme di circolazione è importante quando il traffico è molto intenso, ma non quando si è in condizioni di circolazione scorrevole",F
psicologia del traffico,Il divieto di sorpasso può non essere osservato se si è in coda dietro a un veicolo lento da più di 10 minuti e si ritiene di poter sorpassare senza pericoli,F
psicologia del traffico,"Il rispetto della posizione sulla carreggiata è una norma secondaria che può, se del caso, non essere osservata",F
psicologia del traffico,"L'attenzione alla guida è importante solo quando si compiono manovre pericolose quali, ad esempio, un sorpasso",F
psicologia del traffico,Bere un liquore ad alta gradazione alcolica permette di migliorare l'attenzione dopo circa 10 minuti dall'ingestione,F
psicologia del traffico,"Sintonizzare manualmente l'autoradio non comporta perdita di attenzione alla strada, perché è un compito che si è abituati a svolgere",F
psicologia del traffico,"Se si è stato di ebbrezza lieve, si riesce a guidare comunque in sicurezza",F
psicologia del traffico,La quantità di attenzione che si può prestare alla strada mentre si guida è illimitata,F
psicologia del traffico,"Con 0,5 grammi per litro di alcool nel sangue si riesce a concentrarsi meglio",F
psicologia del traffico,I nostri sensi riescono a cogliere tutti gli stimoli presenti nell'ambiente,F
psicologia del traffico,I nostri sensi sono in grado di percepire stimoli di qualunque intensità,F
psicologia del traffico,In condizioni di traffico intenso lo stress può aiutare il conducente a mantenersi vigile,F
psicologia del traffico,L'udito non è un senso importante quando si guida,F
consumi di carburante,"Gli apparecchi e i dispositivi che funzionano a corrente elettrica (radio, luci, lunotto termico, ecc.) fanno aumentare i consumi di carburante del veicolo",V
consumi di carburante,"Mantenendo il più possibile costante la velocità, si riduce il consumo di carburante",V
consumi di carburante,Il consumo di carburante aumenta con l’aumentare del peso del veicolo,V
consumi di carburante,Diminuendo opportunamente la velocità diminuisce il consumo di carburante,V
consumi di carburante,"Per consumare meno carburante è opportuno tenere i finestrini chiusi, specie quando si viaggia ad alta velocità",V
consumi di carburante,"Per consumare meno carburante conviene scegliere, per quanto possibile, strade pianeggianti e più scorrevoli",V
consumi di carburante,L'insufficiente pressione di gonfiaggio degli pneumatici comporta un maggior consumo di carburante,V
consumi di carburante,Collocare i bagagli sul tetto del veicolo comporta un maggior consumo di carburante,V
consumi di carburante,Tenere aperto il tettuccio scorrevole del veicolo comporta un minor consumo di carburante,F
consumi di carburante,L'uso del climatizzatore comporta minor consumo di carburante,F
consumi di carburante,"I veicoli ibridi (con due motori, a scoppio ed elettrico) inquinano di più perché azionati da due motori",F
consumi di carburante,Per consumare meno carburante è opportuno collocare i bagagli sul tetto del veicolo,F
consumi di carburante,Per consumare meno carburante conviene accelerare e frenare energicamente,F
rumori fastidiosi,"Per evitare rumori fastidiosi durante la guida, occorre far controllare che il dispositivo silenziatore (marmitta) sia in buone condizioni di efficienza",V
rumori fastidiosi,"L'inquinamento acustico aumenta se si usano in modo eccessivo i dispositivi di segnalazione acustica (clacson, trombe)",V
rumori fastidiosi,"Per evitare rumori fastidiosi durante la guida non si deve frenare bruscamente, se non è strettamente necessario",V
rumori fastidiosi,Per evitare rumori fastidiosi non bisogna accelerare inutilmente e ripetutamente se il veicolo è fermo,V
rumori fastidiosi,"Per evitare rumori fastidiosi durante la guida, si deve usare il clacson solamente per motivi di sicurezza stradale (trasporto feriti o ammalati, pericolo immediato)",V
rumori fastidiosi,"Per evitare rumori fastidiosi durante le fermate dovute al traffico, occorre mantenere il motore acceso, accelerando ripetutamente",F
rumori fastidiosi,"Per evitare rumori fastidiosi, occorre chiudere con forza le portiere dell'autovettura, in modo da non doverle richiudere",F
rumori fastidiosi,"Per evitare rumori fastidiosi durante la guida, occorre sostituire il clacson con le luci ad intermittenza, ma solamente di notte",F
rumore dei veicoli a motore,Il rumore prodotto dai veicoli a motore aumenta man mano che si va rovinando il silenziatore (marmitta),V
rumore dei veicoli a motore,"Il rumore prodotto dai veicoli a motore si può diminuire con una guida corretta, che eviti brusche frenate o forti accelerazioni",V
rumore dei veicoli a motore,Il rumore prodotto dai veicoli a motore è causato solo dal motore,F
diminuire il rumore,Per diminuire il rumore emesso dai veicoli a motore è necessario che il dispositivo silenziatore (marmitta) sia efficiente e di tipo approvato,V
diminuire il rumore,Per diminuire il rumore è necessario far sostituire la marmitta rovinata con una approvata per quel tipo di veicolo,V
diminuire il rumore,Per diminuire il rumore non si deve accelerare quando il veicolo è fermo,V
diminuire il rumore,"Per diminuire il rumore prodotto dai veicoli a motore è necessario far controllare i freni se emettono rumore durante le frenate, sostituendoli se necessario",V
diminuire il rumore,"Il controllo dei freni che producono rumore, oltre ad aumentare la sicurezza può ridurre la rumorosità del veicolo",V
diminuire il rumore,Per diminuire il rumore emesso dai veicoli a motore si deve suonare il clacson il meno possibile,V
diminuire il rumore,Per diminuire il rumore emesso dai veicoli a motore è opportuno praticare dei fori nel dispositivo silenziatore (marmitta),F
diminuire il rumore,"Per diminuire il rumore emesso dai veicoli a motore si deve sostituire il tubo di scarico, usandone uno di diametro più piccolo",F
diminuire il rumore,Per diminuire il rumore emesso dai veicoli a motore basta eliminare la parte finale della marmitta,F
rimorchi e pneumatici,"Nelle curve percorse a forte velocità, lo strisciamento dei pneumatici aumenta la rumorosità del veicolo",V
rimorchi e pneumatici,"I rimorchi vuoti, che sobbalzano eccessivamente, possono essere causa di rumore",V
inquinamento dell'aria,Per diminuire l'inquinamento provocato dai veicoli non bisogna accelerare bruscamente durante le partenze,V
inquinamento dell'aria,"Per diminuire l'inquinamento, bisogna evitare di tenere inserita per troppo tempo una marcia bassa, se non è necessaria",V
inquinamento dell'aria,"Per diminuire l’inquinamento dell’aria provocato dai veicoli con motore a scoppio, bisogna sostituire la marmitta catalitica quando la stessa è deteriorata o esausta",V
inquinamento dell'aria,"Per diminuire l'inquinamento dell'aria provocato dai veicoli, bisogna controllare spesso la frizione e il differenziale",F
inquinamento dell'aria,"Per diminuire l'inquinamento dell'aria provocato dai veicoli, bisogna controllare spesso gli organi di sospensione (ammortizzatori)",F
inquinamento dell'aria,"Per diminuire l'inquinamento dell'aria provocato dai veicoli, bisogna ridurre la pressione di gonfiaggio dei pneumatici",F
inquinamento dell'aria,"Per diminuire l'inquinamento dell'aria provocato dai veicoli, bisogna accelerare ripetutamente da fermo, per tenere caldo il motore e migliorarne il rendimento",F
inquinamento dell'aria,"Nei veicoli dotati di marmitta catalitica, l'inquinamento dell'aria è minore subito dopo l'accensione del motore, quando la temperatura è ancora bassa",F
inquinamento atmosferico,L'inquinamento dell'aria prodotto dai veicoli può dipendere da un funzionamento irregolare del motore,V
inquinamento atmosferico,"L'inquinamento dell'aria può essere ridotto, controllando che il veicolo sia sempre nelle condizioni ottimali di consumo e rendimento",V
inquinamento atmosferico,"Adottando uno stile di guida che limiti i consumi di carburante, è possibile ridurre l'inquinamento dell'aria",V
inquinamento atmosferico,"L'inquinamento atmosferico prodotto dai veicoli può essere ridotto, controllando che il filtro dell'aria non sia sporco o intasato",V
inquinamento atmosferico,"L'inquinamento atmosferico prodotto dai veicoli scompare del tutto accelerando a fondo, perché l'alta temperatura fa consumare in fretta il carburante",F
inquinamento atmosferico,L'inquinamento dell'aria prodotto dai veicoli diminuisce se si lascia acceso il climatizzatore,F
